Sales Title,Location/Distance (Miles),Price (£),Mileage,Year,Fuel Type,Transmissions,Colour,Number of Doors,Engine Size,Number of Reviews,Rating,Body Type,CO2 Emissions (g/km)
Vauxhall Mokka X 1.4L Active i Turbo,2,11299,9275,2017,Petrol,Manual,Orange,5,1.4 L,32,4.5,Suv,140
Fiat 500 1L Lounge MHEV,2,11349,9084,2021,Petrol,Manual,Red,3,1.0 L,44,4.5,Hatchback,115
Nissan Juke 1.2L Tekna DIG-T,2,11399,38237,2016,Petrol,Manual,Red,5,1.2 L,31,4,Suv,128
Ford Fiesta 1L Titanium EcoBoost T,2,11399,80212,2019,Petrol,Manual,Blue,5,1.0 L,373,4,Hatchback,106
Citroen C1 1L Urban Ride VTi,2,11399,2274,2021,Petrol,Manual,Silver,5,1.0 L,44,4,Hatchback,109
Ford Grand C-Max 1.5L Zetec TDCi,2,11399,52511,2016,Diesel,Automatic,Black,5,1.5 L,77,4.5,Mpv,119
Renault Captur 0.9L Iconic TCe ENERGY,2,11399,44220,2019,Petrol,Manual,Grey,5,0.9 L,9,4.5,Suv,122
Vauxhall Mokka X 1.4L Design Nav ecoTEC i Turbo,2,11399,62694,2019,Petrol,Manual,Silver,5,1.4 L,32,4.5,Suv,147
Peugeot 108 1L Allure,2,11399,6659,2021,Petrol,Manual,Blue,5,1.0 L,1,4,Hatchback,111
Peugeot 308 1.5L Allure Premium BlueHDi,2,11399,62804,2021,Petrol,Manual,Grey,5,1.5 L,51,4,Hatchback,121
Citroen C1 1L Shine VTi,2,11399,1819,2021,Petrol,Manual,Brown,5,1.0 L,44,4,Hatchback,110
Vauxhall Mokka X 1.4L Active ecoTEC i Turbo,2,11399,32650,2018,Petrol,Manual,Black,5,1.4 L,32,4.5,Suv,140
Volkswagen Golf 1.6L SE Nav TDI,2,11399,86006,2018,Diesel,Manual,Silver,5,1.6 L,100,4.5,Hatchback,108
Ford Focus 1L Zetec Edition EcoBoost T,2,11399,24281,2017,Petrol,Manual,Silver,5,1.0 L,620,4,Hatchback,108
Fiat 500 1L Lounge MHEV,2,11399,8438,2021,Petrol,Manual,Red,3,1.0 L,44,4.5,Hatchback,115
Nissan Note 1.5L Black Edition dCi,2,11449,16817,2017,Diesel,Manual,Black,5,1.5 L,78,4,Hatchback,93
Ford Fiesta 1L Zetec EcoBoost T,2,11449,28125,2019,Petrol,Manual,White,5,1.0 L,373,4,Hatchback,110
Fiat 500 1L Lounge MHEV,2,11449,6272,2021,Hybrid,Manual,Black,3,1.0 L,44,4.5,Hatchback,115
Fiat 500 1L Lounge MHEV,2,11449,4880,2021,Petrol,Manual,Grey,3,1.0 L,44,4.5,Hatchback,115
Ford Fiesta 1.1L Zetec Ti-VCT,2,11499,44720,2018,Petrol,Manual,Grey,5,1.1 L,373,4,Hatchback,101
Renault Captur 0.9L Dynamique S Nav TCe ENERGY,2,11499,22881,2016,Petrol,Manual,White,5,0.9 L,9,4.5,Suv,114
Mini Hatch 1.5L Cooper D,2,11499,28574,2017,Diesel,Manual,Black,3,1.5 L,0,N/A,Hatchback,95
Ford Fiesta 1L Titanium X EcoBoost T,2,11499,16510,2015,Petrol,Manual,Blue,5,1.0 L,373,4,Hatchback,99
Nissan Note 1.2L Acenta Premium DIG-S,2,11499,10743,2016,Petrol,Automatic,Grey,5,1.2 L,78,4,Hatchback,119
Peugeot 3008 1.6L Allure BlueHDi,2,11549,32853,2016,Diesel,Manual,White,5,1.6 L,28,4.5,Suv,108
Fiat 500 1L Lounge MHEV,2,11549,10006,2021,Petrol,Manual,Grey,3,1.0 L,44,4.5,Hatchback,119
Fiat 500 1L Lounge MHEV,2,11549,3650,2021,Petrol,Manual,Black,3,1.0 L,44,4.5,Hatchback,115
Seat Ibiza 1L SE Design TSI,2,11549,36839,2018,Petrol,Manual,Grey,5,1.0 L,47,4,Hatchback,106
Kia Picanto 1L GT-Line T-GDi,2,11549,24129,2019,Petrol,Manual,White,5,1.0 L,61,4,Hatchback,117
Nissan Juke 1.2L Envy DIG-T,2,11549,34489,2018,Petrol,Manual,Grey,5,1.2 L,31,4,Suv,130
Kia Sportage 1.7L 1 CRDi,2,11549,52227,2017,Diesel,Manual,Silver,5,1.7 L,45,4.5,Suv,119
Renault Clio 0.9L GT Line TCe,2,11549,18624,2019,Petrol,Manual,Black,5,0.9 L,115,4,Hatchback,113
Ford Fiesta 1L ST-Line EcoBoost T,2,11549,18807,2017,Petrol,Manual,Black,3,1.0 L,373,4,Hatchback,104
Vauxhall Mokka X 1.4L Design Nav i Turbo,2,11549,34300,2016,Petrol,Manual,Brown,5,1.4 L,32,4.5,Suv,152
Volkswagen Golf 2L Match Edition BlueMotion Tech TDI,2,11599,60319,2016,Diesel,Manual,Blue,5,2.0 L,100,4.5,Hatchback,106
Renault Clio 0.9L Iconic TCe,2,11599,20421,2019,Petrol,Manual,Blue,5,0.9 L,115,4,Hatchback,113
Hyundai i10 1.2L SE,2,11599,30573,2018,Petrol,Automatic,Blue,5,1.2 L,58,4,Hatchback,139
Nissan Juke 1.2L Envy DIG-T,2,11599,36151,2018,Petrol,Manual,Grey,5,1.2 L,31,4,Suv,130
Nissan X-Trail 1.6L Acenta dCi,2,11599,80628,2018,Diesel,Manual,Black,4,1.6 L,42,4.5,Suv,129
Fiat Panda 1.2L Waze,2,11599,7405,2020,Petrol,Manual,Red,5,1.2 L,73,4.5,Hatchback,149
Vauxhall Corsa 1.2L SE Nav,2,11649,48719,2020,Petrol,Manual,Grey,5,1.2 L,268,4,Hatchback,125
Seat Arona 1.6L XCELLENCE Lux TDI,2,11649,84423,2018,Diesel,Manual,Gold,5,1.6 L,0,N/A,Suv,114
Vauxhall Corsa 1.4L Excite ecoFLEX i,2,11649,3034,2015,Petrol,Automatic,White,5,1.4 L,268,4,Hatchback,139
Peugeot 108 1L Collection,2,11649,10977,2021,Petrol,Manual,Black,5,1.0 L,1,4,Hatchback,111
Fiat 500X 2L Cross Plus MultiJetII,2,11649,40847,2016,Diesel,Automatic,Red,5,2.0 L,44,4.5,Suv,144
Jeep Renegade 1.6L Longitude E-TorQ,2,11649,48644,2018,Petrol,Manual,Red,5,1.6 L,0,N/A,Suv,141
Fiat 500 1L Lounge MHEV,2,11649,7842,2021,Hybrid,Manual,Silver,3,1.0 L,44,4.5,Hatchback,115
Renault Clio 0.9L Iconic TCe,2,11699,20535,2019,Petrol,Manual,Black,5,0.9 L,115,4,Hatchback,114
Renault Captur 1.5L Dynamique Nav dCi ENERGY,2,11699,24218,2018,Diesel,Manual,Blue,5,1.5 L,9,4.5,Suv,95
Nissan Juke 1.6L Tekna,2,11699,44509,2019,Petrol,Manual,Blue,5,1.6 L,31,4,Suv,162
Ford Focus 1L Zetec Edition EcoBoost T,2,11699,28900,2018,Petrol,Manual,Blue,5,1.0 L,620,4,Hatchback,108
Volkswagen up! 1L Move up!,2,11749,7478,2018,Petrol,Manual,Black,5,1.0 L,22,4,Hatchback,101
Toyota AYGO 1L x-play VVT-i,2,11749,7005,2021,Petrol,Manual,Black,5,1.0 L,41,4,Hatchback,114
Ford Fiesta 1.1L Trend Ti-VCT,2,11749,32147,2019,Petrol,Manual,White,5,1.1 L,373,4,Hatchback,114
Vauxhall Corsa 1.4L SE Nav i,2,11799,4674,2019,Petrol,Manual,Grey,5,1.4 L,268,4,Hatchback,123
Nissan Juke 1.2L N-Connecta DIG-T,2,11799,38661,2018,Petrol,Manual,Black,5,1.2 L,31,4,Suv,128
Ford Fiesta 1L ST-Line EcoBoost T,2,11799,34397,2017,Petrol,Manual,Red,3,1.0 L,373,4,Hatchback,104
Peugeot 2008 1.2L Allure PureTech,2,11799,32791,2017,Petrol,Manual,Grey,5,1.2 L,14,4.5,Suv,103
Vauxhall Corsa 1.4L SRi VX Line Nav Black ecoTEC i,2,11849,30811,2019,Petrol,Manual,Blue,3,1.4 L,268,4,Hatchback,131
Ford Focus 1L ST-Line EcoBoost T,2,11849,48848,2017,Petrol,Manual,Black,5,1.0 L,620,4,Hatchback,108
Peugeot 208 1.2L Tech Edition PureTech,2,11849,18343,2018,Petrol,Manual,White,5,1.2 L,24,4.5,Hatchback,109
Ford Fiesta 1L Titanium X EcoBoost T,2,11849,34159,2016,Petrol,Automatic,Red,5,1.0 L,373,4,Hatchback,114
Renault Clio 0.9L Iconic TCe,2,11849,12380,2019,Petrol,Manual,Black,5,0.9 L,115,4,Hatchback,114
Ford Focus 1.5L Titanium EcoBlue,2,11849,98705,2020,Diesel,Manual,Blue,5,1.5 L,620,4,Hatchback,93
Nissan Note 1.2L Tekna DIG-S,2,11849,10672,2016,Petrol,Automatic,Silver,5,1.2 L,78,4,Hatchback,119
Fiat 500 1L Lounge MHEV,2,11899,4444,2021,Petrol,Manual,Red,3,1.0 L,44,4.5,Hatchback,115
MG MG3 1.5L Exclusive Nav VTi-TECH,2,11899,12407,2020,Petrol,Manual,Black,5,1.5 L,6,3.5,Hatchback,152
Skoda Fabia 1L SE L TSI,2,11899,32043,2017,Petrol,Manual,Blue,5,1.0 L,153,4,Estate,103
Hyundai i40 1.7L SE Nav Blue Drive CRDi,2,11899,46899,2017,Diesel,Manual,Silver,5,1.7 L,14,4.5,Estate,114
Vauxhall Corsa 1.2L SE Premium,2,11899,28713,2021,Petrol,Manual,Blue,5,1.2 L,268,4,Hatchback,118
Mini Hatch 1.5L Cooper,2,11949,46037,2016,Petrol,Manual,Black,3,1.5 L,0,N/A,Hatchback,105
Jeep Renegade 2L Longitude MultiJetII,2,11949,46429,2016,Diesel,Manual,White,5,2.0 L,0,N/A,Suv,134
Mini Hatch 1.2L One,2,11999,46890,2017,Petrol,Manual,White,5,1.2 L,0,N/A,Hatchback,112
Volkswagen Polo 1L SE TSI,2,11999,40612,2018,Petrol,Manual,Orange,5,1.0 L,151,4,Hatchback,101
Ford Fiesta 1.1L Zetec Ti-VCT,2,11999,9015,2019,Petrol,Manual,Red,3,1.1 L,373,4,Hatchback,114
Vauxhall Mokka X 1.4L Griffin ecoTEC i Turbo,2,11999,58835,2019,Petrol,Manual,Black,5,1.4 L,32,4.5,Suv,150
Nissan Micra 1L Tekna IG-T,2,11999,18303,2019,Petrol,Manual,Silver,5,1.0 L,114,4,Hatchback,104
Vauxhall Astra 1L SRi ecoTEC i Turbo,2,11999,24632,2019,Petrol,Manual,Blue,5,1.0 L,368,4,Hatchback,110
Ford Focus 1L Titanium EcoBoost T,2,11999,38991,2016,Petrol,Automatic,Grey,5,1.0 L,620,4,Hatchback,125
Ford Mondeo 1.5L Zetec ECOnetic TDCi,2,11999,42673,2016,Diesel,Manual,Blue,5,1.5 L,295,4.5,Hatchback,94
Mini Hatch 1.2L One,2,12049,36716,2016,Petrol,Manual,White,3,1.2 L,0,N/A,Hatchback,109
Ford Fiesta 1L Active Edition EcoBoost MHEV T,2,12049,54687,2020,Petrol,Manual,Black,5,1.0 L,373,4,Hatchback,120
Ford Focus 1L Zetec Edition EcoBoost T,2,12049,30232,2017,Petrol,Manual,Blue,5,1.0 L,620,4,Hatchback,108
Ford Focus 1L Zetec Edition EcoBoost T,2,12049,34196,2018,Petrol,Manual,Grey,5,1.0 L,620,4,Hatchback,108
Ford B-Max 1.6L Titanium,2,12049,4081,2016,Petrol,Automatic,Black,5,1.6 L,18,4.5,Mpv,149
Fiat 500 1L Lounge MHEV,2,12099,18206,2021,Petrol,Manual,Black,3,1.0 L,44,4.5,Hatchback,115
Ford Focus 1L ST-Line EcoBoost T,2,12099,40343,2017,Petrol,Manual,Blue,5,1.0 L,620,4,Hatchback,112
Mini Hatch 1.5L Cooper,2,12149,40918,2017,Petrol,Manual,Grey,5,1.5 L,0,N/A,Hatchback,109
Mini Hatch 1.5L Cooper D,2,12149,38281,2016,Diesel,Manual,Grey,5,1.5 L,0,N/A,Hatchback,97
Ford Ka+ 1.2L Active Ti-VCT,2,12149,2832,2019,Petrol,Manual,Grey,5,1.2 L,89,4,Hatchback,129
Toyota AYGO 1L x-press VVT-i,2,12149,12891,2017,Petrol,Automatic,Black,5,1.0 L,41,4,Hatchback,97
Dacia Logan MCV Stepway 0.9L Comfort TCe,2,12199,32658,2019,Petrol,Manual,Grey,5,0.9 L,2,3.5,Estate,125
Renault Clio 0.9L Iconic TCe,2,12199,22813,2019,Petrol,Manual,Red,5,0.9 L,115,4,Hatchback,114
Mini Hatch 1.5L Cooper,2,12199,24101,2015,Petrol,Manual,Green,5,1.5 L,0,N/A,Hatchback,109
Vauxhall Insignia 1.6L Tech Line Nav BlueInjection Turbo D,2,12199,42954,2018,Diesel,Manual,Grey,5,1.6 L,96,4.5,Hatchback,121
Volkswagen Polo 1L SE TSI,2,12199,24461,2018,Petrol,Manual,Red,5,1.0 L,151,4,Hatchback,104
Vauxhall Crossland X SE,2,12199,36941,2019,Petrol,Manual,Grey,5,1.2 L,0,N/A,Suv,117
Smart fortwo 0.9L Prime Sport T,2,12249,12442,2017,Petrol,Automatic,Silver,2,0.9 L,26,4.5,Coupe,96
Ford Focus 1L Titanium EcoBoost T,2,12249,24956,2017,Petrol,Manual,Red,5,1.0 L,620,4,Hatchback,108
Audi A3 1.6L Sport TDI,2,12249,82678,2016,Diesel,Automatic,Red,5,1.6 L,76,4.5,Saloon,104
Mazda Mazda3 1.5L SE SKYACTIV-G,2,12299,22352,2015,Petrol,Manual,Black,5,1.5 L,53,4,Hatchback,119
Vauxhall Astra 1.4L SRi Nav i Turbo,2,12299,30755,2019,Petrol,Manual,Blue,5,1.4 L,368,4,Hatchback,136
Nissan Juke 1.5L Tekna dCi,2,12299,40107,2017,Diesel,Manual,Blue,5,1.5 L,31,4,Suv,104
Ford Fiesta 1L Titanium EcoBoost T,2,12299,74530,2019,Petrol,Manual,Silver,5,1.0 L,373,4,Hatchback,106
Nissan Qashqai 1.2L n-tec+ DIG-T,2,12299,50315,2015,Petrol,Manual,Black,5,1.2 L,100,4.5,Suv,133
Volkswagen Polo 1L Match BlueMotion Tech,2,12349,32235,2016,Petrol,Manual,White,5,1.0 L,151,4,Hatchback,108
Peugeot 108 1L Allure,2,12349,4441,2021,Petrol,Manual,Blue,5,1.0 L,1,4,Hatchback,111
Ford Fiesta 1.1L Trend Ti-VCT,2,12349,22003,2019,Petrol,Manual,Blue,5,1.1 L,373,4,Hatchback,114
Audi A3 1L SE TFSI,2,12349,56584,2016,Petrol,Manual,Black,5,1.0 L,76,4.5,Hatchback,104
Nissan Micra 1.2L Acenta,2,12399,7470,2016,Petrol,Automatic,White,5,1.2 L,114,4,Hatchback,125
Dacia Sandero Stepway 0.9L Techroad TCe,2,12399,5203,2019,Petrol,Manual,Red,5,0.9 L,15,4,Hatchback,125
BMW 3 Series 2L ED Plus 320d,2,12399,76724,2017,Diesel,Manual,Grey,5,2.0 L,126,4,Estate,107
Vauxhall Astra 1.6L Elite CDTi,2,12399,20470,2016,Diesel,Automatic,Green,5,1.6 L,368,4,Estate,122
Peugeot 308 1.5L Allure BlueHDi,2,12449,36385,2019,Diesel,Manual,Grey,5,1.5 L,51,4,Hatchback,96
Kia Picanto 1L GT-Line T-GDi,2,12499,24451,2019,Petrol,Manual,White,5,1.0 L,61,4,Hatchback,117
Volkswagen Polo 1.2L Match BlueMotion Tech TSI,2,12499,46555,2017,Petrol,Manual,Black,5,1.2 L,151,4,Hatchback,107
Hyundai i10 1.2L SE,2,12499,14854,2017,Petrol,Automatic,Blue,5,1.2 L,58,4,Hatchback,139
Mini Clubman 2L Cooper D,2,12499,40170,2016,Diesel,Manual,White,4,2.0 L,12,4.5,Estate,113
Ford Fiesta 1L Zetec EcoBoost T,2,12549,32440,2018,Petrol,Manual,Black,5,1.0 L,373,4,Hatchback,97
Vauxhall Corsa 1.2L SE Nav,2,12549,30474,2020,Petrol,Manual,Blue,5,1.2 L,268,4,Hatchback,121
Hyundai KONA 1L S T-GDi,2,12549,30913,2018,Petrol,Manual,Orange,5,1.0 L,0,N/A,Suv,117
MG MG3 1.5L Exclusive Nav VTi-TECH,2,12549,5442,2021,Petrol,Manual,White,5,1.5 L,6,3.5,Hatchback,147
Renault Kadjar 1.2L Signature S Nav TCe,2,12549,34563,2016,Petrol,Manual,Red,5,1.2 L,1,5,Suv,130
Volkswagen Polo 1L SE TSI,2,12549,34757,2018,Petrol,Manual,Orange,5,1.0 L,151,4,Hatchback,103
Renault Megane 1.5L Iconic Blue dCi,2,12599,54658,2019,Diesel,Manual,Blue,5,1.5 L,119,4,Hatchback,104
Kia Picanto 1L GT-Line T-GDi,2,12599,22446,2019,Petrol,Manual,White,5,1.0 L,61,4,Hatchback,117
Ford Fiesta 1L Zetec EcoBoost T,2,12599,26542,2019,Petrol,Manual,Blue,5,1.0 L,373,4,Hatchback,110
Vauxhall Insignia 1.6L Tech Line Nav ecoTEC Turbo D,2,12649,40144,2018,Diesel,Manual,Grey,5,1.6 L,96,4.5,Hatchback,116
BMW 1 Series 1.5L Sport 116d,2,12649,26318,2016,Diesel,Manual,White,3,1.5 L,12,4.5,Hatchback,103
Volkswagen Polo 1L SE TSI,2,12649,24665,2019,Petrol,Manual,Orange,5,1.0 L,151,4,Hatchback,104
Volkswagen up! 1L Move up! Tech Edition,2,12699,12070,2019,Petrol,Manual,Silver,5,1.0 L,22,4,Hatchback,95
Vauxhall Corsa 1.2L SRi Turbo,2,12699,40045,2021,Petrol,Manual,Red,5,1.2 L,268,4,Hatchback,119
Vauxhall Mokka 1.4L Tech Line i Turbo,2,12699,20628,2016,Petrol,Automatic,Blue,5,1.4 L,32,4.5,Suv,149
Nissan Micra 1L Acenta DIG-T,2,12699,3837,2020,Petrol,Manual,White,5,1.0 L,114,4,Hatchback,133
Peugeot 208 1.6L GTi Prestige THP,2,12699,22130,2016,Petrol,Manual,Orange,3,1.6 L,24,4.5,Hatchback,125
Audi A1 1.4L Sport TFSI,2,12699,24518,2016,Petrol,Manual,Black,3,1.4 L,33,4.5,Hatchback,115
Peugeot 108 1L Allure,2,12749,4488,2021,Petrol,Manual,White,5,1.0 L,1,4,Hatchback,111
Renault Captur 1.2L Signature Nav TCe ENERGY,2,12749,38858,2016,Petrol,Automatic,Red,5,1.2 L,9,4.5,Suv,127
Peugeot 3008 1.6L Allure BlueHDi,2,12749,38930,2017,Diesel,Automatic,Grey,5,1.6 L,28,4.5,Suv,112
Ford Fiesta 1L Zetec EcoBoost T,2,12749,10570,2017,Petrol,Manual,Red,5,1.0 L,373,4,Hatchback,97
Vauxhall Crossland X 1.2L Elite Nav,2,12749,28405,2018,Petrol,Manual,Grey,5,1.2 L,0,N/A,Suv,116
Ford Fiesta 1L ST-Line EcoBoost T,2,12799,42129,2018,Petrol,Manual,White,3,1.0 L,373,4,Hatchback,98
Ford Focus 1.5L Zetec EcoBlue,2,12799,56697,2020,Diesel,Manual,Grey,5,1.5 L,620,4,Estate,97
Skoda Fabia 1L SE L TSI,2,12849,48547,2018,Petrol,Manual,Black,5,1.0 L,153,4,Estate,103
Fiat 500 1L Dolcevita MHEV,2,12849,3618,2022,Petrol,Manual,Red,3,1.0 L,44,4.5,Hatchback,106
MG MG3 1.5L Exclusive Nav VTi-TECH,2,12849,7431,2022,Petrol,Manual,Blue,5,1.5 L,6,3.5,Hatchback,147
Mazda Mazda2 1.5L SE-L Nav MHEV SKYACTIV-G,2,12849,18472,2020,Petrol,Manual,White,5,1.5 L,40,4,Hatchback,121
Vauxhall Mokka X 1.4L Active ecoTEC i Turbo,2,12849,22931,2019,Petrol,Manual,White,5,1.4 L,32,4.5,Suv,150
Renault Captur 1.3L Iconic TCe ENERGY,2,12849,22178,2019,Petrol,Manual,Blue,5,1.3 L,9,4.5,Suv,128
Ford Fiesta 1L ST-Line EcoBoost T,2,12849,22071,2018,Petrol,Manual,Silver,3,1.0 L,373,4,Hatchback,108
Ford Fiesta 1L ST-Line Edition EcoBoost T,2,12849,22835,2020,Petrol,Manual,Blue,4,1.0 L,373,4,Hatchback,118
Ford Mondeo 1.5L Titanium Edition ECOnetic TDCi,2,12849,38174,2017,Diesel,Manual,Silver,5,1.5 L,295,4.5,Hatchback,94
Citroen C3 1.2L Flair Nav Edition PureTech,2,12899,32456,2019,Petrol,Manual,Black,5,1.2 L,70,4,Hatchback,106
BMW 3 Series 2L SE 316d,2,12899,58871,2016,Diesel,Manual,Black,4,2.0 L,13,4,Saloon,109
Ford Kuga 2L Titanium Sport TDCi,2,12899,64256,2016,Diesel,Manual,Silver,5,2.0 L,31,4.5,Suv,122
Ford Fiesta 1.1L Trend Ti-VCT,2,12899,3681,2020,Petrol,Manual,Blue,3,1.1 L,373,4,Hatchback,121
BMW 3 Series 1.5L Sport 318i,2,12899,48212,2016,Petrol,Manual,White,4,1.5 L,50,4,Saloon,124
Hyundai ix20 1.6L SE,2,12899,20521,2018,Petrol,Automatic,Grey,5,1.6 L,5,4.5,Hatchback,150
Suzuki Swift 1.4L Sport Boosterjet,2,12899,22077,2018,Petrol,Manual,White,5,1.4 L,37,4,Hatchback,125
Fiat 500 1L Dolcevita MHEV,2,12899,1655,2022,Petrol,Manual,White,3,1.0 L,44,4.5,Hatchback,106
Citroen C4 Cactus 1.6L Flair BlueHDi,2,12949,24188,2016,Diesel,Automatic,Black,5,1.6 L,42,4,Hatchback,89
Vauxhall Astra GTC 1.6L Limited Edition i Turbo,2,12949,14171,2015,Petrol,Manual,Red,3,1.6 L,2,4,Hatchback,149
Volkswagen Golf 1.6L Match Edition BlueMotion Tech TDI,2,12949,30109,2016,Diesel,Manual,Grey,5,1.6 L,100,4.5,Hatchback,99
Citroen Grand C4 Picasso 1.6L Exclusive BlueHDi,2,12949,44012,2016,Diesel,Manual,Blue,5,1.6 L,25,4,Mpv,106
Citroen C3 1.2L Flair PureTech,2,12999,10091,2019,Petrol,Manual,Grey,5,1.2 L,70,4,Hatchback,99
Mercedes-Benz A Class 2.1L Sport A200d,2,12999,54449,2016,Diesel,Manual,Red,5,2.1 L,47,4,Hatchback,111
Smart fortwo Prime,2,12999,5484,2019,Electric,Automatic,Black,2,N/A,26,4.5,Coupe,0
Mazda MX-5 1.5L Sport SKYACTIV-G,2,13049,40038,2015,Petrol,Manual,Red,2,1.5 L,62,4,Convertible,139
Ford Fiesta 1L Active Edition EcoBoost MHEV T,2,13049,36658,2020,Petrol,Manual,Black,5,1.0 L,373,4,Hatchback,120
Vauxhall Crossland X 1.2L Business Edition Nav Turbo,2,13049,36284,2020,Petrol,Manual,Grey,5,1.2 L,0,N/A,Suv,137
Kia Soul EV,2,13099,50893,2018,Electric,Automatic,Blue,5,N/A,14,4.5,Suv,0
Volkswagen Golf 1.4L Match Edition BlueMotion Tech TSI,2,13099,58275,2016,Petrol,Manual,Silver,5,1.4 L,157,4.5,Hatchback,120
Vauxhall Corsa 1.2L SRi Premium Turbo,2,13099,22383,2020,Petrol,Manual,Blue,5,1.2 L,268,4,Hatchback,126
Renault Kadjar 1.5L Dynamique Nav dCi,2,13099,62271,2017,Diesel,Automatic,White,5,1.5 L,1,5,Suv,99
Ford Fiesta 1.5L Zetec TDCi,2,13149,16709,2019,Diesel,Manual,Silver,5,1.5 L,373,4,Hatchback,96
Toyota AYGO 1L x-press VVT-i,2,13149,18574,2018,Petrol,Automatic,Black,5,1.0 L,41,4,Hatchback,97
Volkswagen Polo 1L SE EVO,2,13149,12766,2019,Petrol,Manual,Red,5,1.0 L,151,4,Hatchback,108
Vauxhall Corsa 1.2L SE Nav,2,13149,10314,2020,Petrol,Manual,Black,5,1.2 L,268,4,Hatchback,121
Vauxhall Crossland X 1.2L Griffin Turbo,2,13149,38628,2020,Petrol,Manual,Grey,5,1.2 L,0,N/A,Suv,133
Ford C-Max 1L Titanium EcoBoost T,2,13199,24165,2017,Petrol,Manual,Silver,5,1.0 L,77,4.5,Mpv,117
Abarth 595 1.4L 70th T-Jet,2,13199,28109,2019,Petrol,Manual,Grey,3,1.4 L,1,3,Hatchback,151
Vauxhall Crossland X 1.2L Elite Nav,2,13199,30685,2020,Petrol,Manual,Blue,5,1.2 L,0,N/A,Suv,106
Honda Jazz 1.3L SE i-VTEC,2,13199,18933,2018,Petrol,Manual,Orange,5,1.3 L,218,4.5,Hatchback,116
Nissan Qashqai 1.6L Tekna dCi,2,13199,50203,2015,Diesel,Automatic,White,5,1.6 L,100,4.5,Suv,128
Seat Leon 2L FR Technology TDI,2,13199,48845,2017,Diesel,Manual,Purple,5,2.0 L,46,4.5,Hatchback,112
Volkswagen Golf 1.6L Match Edition TDI,2,13249,70607,2020,Diesel,Manual,Silver,5,1.6 L,100,4.5,Hatchback,108
Ford Fiesta 1L Titanium EcoBoost T,2,13299,34465,2019,Petrol,Manual,Grey,5,1.0 L,373,4,Hatchback,110
Fiat 500X 1.6L Cross MultiJetII,2,13299,52664,2018,Diesel,Automatic,Brown,5,1.6 L,44,4.5,Suv,113
Suzuki SX4 S-Cross 1.6L SZ-T,2,13299,42945,2016,Petrol,Automatic,Blue,5,1.6 L,0,N/A,Suv,125
Seat Ibiza 1L FR TSI,2,13299,44274,2019,Petrol,Manual,Black,5,1.0 L,47,4,Hatchback,108
Volkswagen Polo 1L SE,2,13299,16495,2018,Petrol,Manual,Silver,5,1.0 L,151,4,Hatchback,108
Vauxhall Corsa 1.2L SE,2,13299,7852,2021,Petrol,Manual,Grey,5,1.2 L,268,4,Hatchback,118
Smart forfour Prime Exclusive,2,13299,1446,2020,Electric,Automatic,Black,5,N/A,3,4,Hatchback,0
Ford Fiesta 1.1L Zetec Ti-VCT,2,13349,24042,2019,Petrol,Manual,Grey,5,1.1 L,373,4,Hatchback,114
Seat Arona 1L FR TSI,2,13349,40844,2019,Petrol,Manual,Blue,5,1.0 L,0,N/A,Suv,114
Mercedes-Benz B Class 2.1L SE B200d,2,13349,36975,2017,Diesel,Manual,White,5,2.1 L,21,4,Mpv,109
Smart fortwo Pulse Premium,2,13349,9072,2020,Electric,Automatic,Black,2,N/A,26,4.5,Coupe,0
Skoda Octavia 1.4L SE L TSI,2,13349,24311,2016,Petrol,Automatic,Blue,5,1.4 L,171,4.5,Hatchback,115
Nissan Qashqai 1.5L Acenta dCi,2,13399,32367,2017,Diesel,Manual,Red,5,1.5 L,100,4.5,Suv,99
Mazda Mazda2 1.5L SE-L Nav+ SKYACTIV-G,2,13399,18766,2019,Petrol,Manual,Red,5,1.5 L,40,4,Hatchback,111
Toyota Yaris 1.5L Icon VVT-h,2,13399,58084,2018,Hybrid,Automatic,Red,5,1.5 L,155,4.5,Hatchback,84
